event_date,start_time,peak_time,end_time,goes_class,goes_location,noaa_active_region
2011-08-09,2011-08-09 03:19:00.000,2011-08-09 03:54:00.000,2011-08-09 04:08:00.000,M2.5,"(68, 18)",11263
2011-08-09,2011-08-09 07:48:00.000,2011-08-09 08:05:00.000,2011-08-09 08:08:00.000,X6.9,"(69, 17)",11263
2011-09-04,2011-09-04 11:21:00.000,2011-09-04 11:45:00.000,2011-09-04 11:50:00.000,M3.2,"(0, 0)",11286
2011-09-05,2011-09-05 04:08:00.000,2011-09-05 04:28:00.000,2011-09-05 04:32:00.000,M1.6,"(0, 0)",11286
2011-09-05,2011-09-05 07:27:00.000,2011-09-05 07:58:00.000,2011-09-05 08:06:00.000,M1.2,"(0, 0)",11286
2011-09-06,2011-09-06 01:35:00.000,2011-09-06 01:50:00.000,2011-09-06 02:05:00.000,M5.3,"(7, 14)",11283
2011-09-06,2011-09-06 22:12:00.000,2011-09-06 22:20:00.000,2011-09-06 22:24:00.000,X2.1,"(18, 14)",1283
2011-09-06,2011-09-06 22:12:00.000,2011-09-06 22:20:00.000,2011-09-06 22:24:00.000,X2.1,"(18, 14)",11283
2011-09-07,2011-09-07 22:32:00.000,2011-09-07 22:38:00.000,2011-09-07 22:44:00.000,X1.8,"(28, 14)",11283
2011-09-08,2011-09-08 15:32:00.000,2011-09-08 15:46:00.000,2011-09-08 15:52:00.000,M6.7,"(40, 14)",11283
2011-09-09,2011-09-09 06:01:00.000,2011-09-09 06:11:00.000,2011-09-09 06:17:00.000,M2.7,"(47, 16)",11283
2011-09-09,2011-09-09 12:39:00.000,2011-09-09 12:49:00.000,2011-09-09 12:56:00.000,M1.2,"(52, 13)",11283
2011-09-10,2011-09-10 07:18:00.000,2011-09-10 07:40:00.000,2011-09-10 07:56:00.000,M1.1,"(61, 12)",11283
2011-09-21,2011-09-21 12:04:00.000,2011-09-21 12:23:00.000,2011-09-21 12:45:00.000,M1.8,"(0, 0)",11301
2011-09-22,2011-09-22 09:53:00.000,2011-09-22 10:00:00.000,2011-09-22 10:09:00.000,M1.1,"(0, 0)",11302
2011-09-22,2011-09-22 10:29:00.000,2011-09-22 11:01:00.000,2011-09-22 11:44:00.000,X1.4,"(0, 0)",11302
2011-09-23,2011-09-23 01:47:00.000,2011-09-23 01:59:00.000,2011-09-23 02:10:00.000,M1.6,"(63, 25)",11295
2011-09-23,2011-09-23 21:54:00.000,2011-09-23 22:15:00.000,2011-09-23 22:34:00.000,M1.6,"(73, 23)",11295
2011-09-23,2011-09-23 23:48:00.000,2011-09-23 23:56:00.000,2011-09-24 00:04:00.000,M1.9,"(-52, 11)",11302
2011-09-24,2011-09-24 09:21:00.000,2011-09-24 09:40:00.000,2011-09-24 09:48:00.000,X1.9,"(-60, 12)",11302
2011-09-24,2011-09-24 12:33:00.000,2011-09-24 13:20:00.000,2011-09-24 14:10:00.000,M7.1,"(0, 0)",11302
2011-09-24,2011-09-24 16:36:00.000,2011-09-24 16:59:00.000,2011-09-24 17:15:00.000,M1.7,"(0, 0)",11295
2011-09-24,2011-09-24 17:19:00.000,2011-09-24 17:25:00.000,2011-09-24 17:31:00.000,M3.1,"(0, 0)",11302
2011-09-24,2011-09-24 17:59:00.000,2011-09-24 18:15:00.000,2011-09-24 18:24:00.000,M2.8,"(-56, 15)",11302
